1, 4 yr./ 50000 mi., 6 yr./ 70000 mi., 4 yr./ 50000 mi.,,,,, 38.0 in., 50.2 in., 42.3 in., 55.6 in., 51.7 in., 35.9 in., 34.0 in., 53.5 in.,5 ft. 10.6 in. (70.6 in.),4 ft. 7.6 in. (55.6 in.),14 ft. 11.1 in. (179.1 in.),8 ft. 9.1 in. (105.1 in.),,,, 101.6 cu.ft., 2955 lbs., 12.3 cu.ft.,,,,,,,, 2.0 L, Single overhead cam (SOHC), Inline 4,16, Variable, 140 ft-lbs. @ 4300 rpm, 150 hp @ 6500 rpm, 36.1 ft., Gas, Premium unleaded (recommended), 13.2 gal., 316.8/462.0 mi., 24/35 mpg, Front wheel drive, 5-speed shiftable automatic
22,,,,,,,, 37.3 in.,,,,,,,,6 ft. 3.9 in. (75.9 in.),4 ft. 5.5 in. (53.5 in.),16 ft. 5.6 in. (197.6 in.),9 ft. 9.7 in. (117.7 in.),,,, 97.0 cu.ft., 4387 lbs., 14.0 cu.ft.,,,,,,,, 5.9 L, Double overhead cam (DOHC), V12,48, Variable, 465 ft-lbs. @ 5500 rpm, 552 hp @ 6650 rpm, 41.0 ft., Gas, Premium unleaded (required), 23.9 gal., 334.6/525.8 mi., 14/22 mpg, Rear wheel drive, 8-speed shiftable automatic
23,,,,,,,, 37.3 in.,,,,,,,,6 ft. 3.9 in. (75.9 in.),4 ft. 5.5 in. (53.5 in.),16 ft. 5.6 in. (197.6 in.),9 ft. 9.7 in. (117.7 in.),,,, 97.0 cu.ft., 4387 lbs., 14.0 cu.ft.,,,,,,,, 5.9 L, Double overhead cam (DOHC), V12,48, Variable, 465 ft-lbs. @ 5500 rpm, 552 hp @ 6650 rpm, 41.0 ft., Gas, Premium unleaded (required), 23.9 gal., 334.6/525.8 mi., 14/22 mpg, Rear wheel drive, 8-speed shiftable automatic
24,,,,,,,,,,,,,,,,6 ft. 1.4 in. (73.4 in.),4 ft. 1.2 in. (49.2 in.),14 ft. 4.6 in. (172.6 in.),8 ft. 6.4 in. (102.4 in.),,,,,,,,,,,,,, 5.9 L, Double overhead cam (DOHC), V12,48, Variable, 457 ft-lbs. @ 5750 rpm, 565 hp @ 6750 rpm, 38.7 ft., Gas, Premium unleaded (required), 21.1 gal., 253.2/379.8 mi., 12/18 mpg, Rear wheel drive, 7-speed automated manual
25,,,,,,,,,,,,,,,,6 ft. 1.4 in. (73.4 in.),4 ft. 1.2 in. (49.2 in.),14 ft. 4.6 in. (172.6 in.),,5 ft. 1.8 in. (61.8 in.),5 ft. 2 in. (62 in.),,,,,,,,,,,, 5.9 L, Double overhead cam (DOHC), V12,48, Variable, 457 ft-lbs. @ 5750 rpm, 565 hp @ 6750 rpm, 38.7 ft., Gas, Premium unleaded (required), 21.1 gal., 253.2/379.8 mi., 12/18 mpg, Rear wheel drive, 7-speed automated manual
26,,,,,,,,,,,,,,,,6 ft. 1.4 in. (73.4 in.),4 ft. 1.2 in. (49.2 in.),14 ft. 4.6 in. (172.6 in.),8 ft. 6.4 in. (102.4 in.),,,,,,,,,,,,,, 5.9 L, Double overhead cam (DOHC), V12,48, Variable, 457 ft-lbs. @ 5750 rpm, 565 hp @ 6750 rpm, 38.7 ft., Gas, Premium unleaded (required), 21.1 gal., 253.2/379.8 mi., 12/18 mpg, Rear wheel drive, 7-speed automated manual
27,,,,,,,,,,,,,,,,6 ft. 1.4 in. (73.4 in.),4 ft. 2 in. (50 in.),14 ft. 4.6 in. (172.6 in.),8 ft. 6.4 in. (102.4 in.),,,,,,,,,,,,,, 4.7 L, Double overhead cam (DOHC), V8,32, Variable, 361 ft-lbs. @ 5000 rpm, 430 hp @ 7300 rpm, 37.3 ft., Gas, Premium unleaded (required), 21.1 gal., 274.3/400.9 mi., 13/19 mpg, Rear wheel drive, 6-speed manual
28,,,,,,,,,,,,,,,,6 ft. 1.4 in. (73.4 in.),4 ft. 2 in. (50 in.),14 ft. 4.6 in. (172.6 in.),8 ft. 6.4 in. (102.4 in.),,,,,,,,,,,,,, 4.7 L, Double overhead cam (DOHC), V8,32, Variable, 361 ft-lbs. @ 5000 rpm, 430 hp @ 7300 rpm, 37.3 ft., Gas, Premium unleaded (required), 21.1 gal., 274.3/400.9 mi., 13/19 mpg, Rear wheel drive, 6-speed manual
29,,,,,,,,,,,,,,,,6 ft. 1.4 in. (73.4 in.),4 ft. 1.6 in. (49.6 in.),14 ft. 4.6 in. (172.6 in.),8 ft. 6.4 in. (102.4 in.),,,,,,,,,,,,,, 4.7 L, Double overhead cam (DOHC), V8,32, Variable, 361 ft-lbs. @ 5000 rpm, 430 hp @ 7300 rpm, 37.3 ft., Gas, Premium unleaded (required), 21.1 gal., 274.3/400.9 mi., 13/19 mpg, Rear wheel drive, 6-speed manual
30,,,,,,,,,,,,,,,,6 ft. 1.4 in. (73.4 in.),4 ft. 1.6 in. (49.6 in.),14 ft. 4.6 in. (172.6 in.),8 ft. 6.4 in. (102.4 in.),,,,,,,,,,,,,, 4.7 L, Double overhead cam (DOHC), V8,32, Variable, 361 ft-lbs. @ 5000 rpm, 430 hp @ 7300 rpm, 37.3 ft., Gas, Premium unleaded (required), 21.1 gal., 274.3/400.9 mi., 13/19 mpg, Rear wheel drive, 6-speed manual
31,,,,,,,,,,,,,,,,6 ft. 3.2 in. (75.2 in.),4 ft. 2.9 in. (50.9 in.),15 ft. 4.7 in. (184.7 in.),8 ft. 11.9 in. (107.9 in.),,,,,,,,,,,,,, 5.9 L, Double overhead cam (DOHC), V12,48, Variable, 465 ft-lbs. @ 5500 rpm, 568 hp @ 6650 rpm,, Gas, Premium unleaded (required), 20.5 gal., 266.5/430.5 mi., 13/21 mpg, Rear wheel drive, 8-speed shiftable automatic
