1, 4 yr./ 50000 mi., 6 yr./ 70000 mi., 4 yr./ 50000 mi.,,,,, 38.0 in., 50.2 in., 42.3 in., 55.6 in., 51.7 in., 35.9 in., 34.0 in., 53.5 in.,5 ft. 10.6 in. (70.6 in.),4 ft. 7.6 in. (55.6 in.),14 ft. 11.1 in. (179.1 in.),8 ft. 9.1 in. (105.1 in.),,,, 101.6 cu.ft., 2955 lbs., 12.3 cu.ft.,,,,,,,, 2.0 L, Single overhead cam (SOHC), Inline 4,16, Variable, 140 ft-lbs. @ 4300 rpm, 150 hp @ 6500 rpm, 36.1 ft., Gas, Premium unleaded (recommended), 13.2 gal., 316.8/462.0 mi., 24/35 mpg, Front wheel drive, 5-speed shiftable automatic
546, 4 yr./ 60000 mi., 6 yr./ 70000 mi.,,,,, 8 yr./ 100000 mi., 40.7 in., 56.8 in., 42.3 in., 60.3 in., 55.8 in., 38.3 in., 41.7 in., 60.4 in.,6 ft. 5.2 in. (77.2 in.),5 ft. 8.8 in. (68.8 in.),16 ft. 4.4 in. (196.4 in.),,,,,,,, 3500 lbs.,,,,,,, 2.5 L, Double overhead cam (DOHC), Inline 4,16, Variable, 243 ft-lbs. @ 3600 rpm, 250 hp @ 5600 rpm, 38.7 ft., Hybrid, Premium unleaded (recommended), 19.5 gal., 507.0/546.0 mi., 26/28 mpg, Front wheel drive, Continuously variable-speed automatic
547, 4 yr./ 60000 mi., 6 yr./ 70000 mi.,,,,, 8 yr./ 100000 mi., 40.7 in., 56.8 in., 42.3 in., 60.3 in., 55.8 in., 38.3 in., 41.7 in., 60.4 in.,6 ft. 5.2 in. (77.2 in.),5 ft. 8.6 in. (68.6 in.),16 ft. 4.4 in. (196.4 in.),,,,,,,, 5000 lbs., 14.0 degrees, 20.6 degrees,,,,, 3.5 L, Double overhead cam (DOHC), V6,24, Variable, 248 ft-lbs. @ 4400 rpm, 265 hp @ 6400 rpm, 38.7 ft., Gas, Premium unleaded (recommended), 19.5 gal., 409.5/526.5 mi., 21/27 mpg, Front wheel drive, Continuously variable-speed automatic
548, 4 yr./ 60000 mi., 6 yr./ 70000 mi., 4 yr./ 60000 mi.,,,,, 40.7 in., 56.8 in., 42.3 in., 60.3 in., 55.8 in., 38.3 in., 41.7 in., 60.4 in.,6 ft. 5.2 in. (77.2 in.),5 ft. 8.6 in. (68.6 in.),16 ft. 4.4 in. (196.4 in.),,,,,,,, 5000 lbs.,,,,,,, 3.5 L, Double overhead cam (DOHC), V6,24, Variable, 248 ft-lbs. @ 4400 rpm, 265 hp @ 6400 rpm, 38.7 ft., Gas, Premium unleaded (recommended), 19.5 gal., 409.5/526.5 mi., 21/27 mpg, Front wheel drive, Continuously variable-speed automatic
549, 4 yr./ 60000 mi., 6 yr./ 70000 mi., 4 yr./ 60000 mi.,,,,, 39.3 in., 54.9 in., 44.7 in., 57.3 in., 54.2 in., 38.5 in., 34.6 in., 57.4 in.,6 ft. 3.9 in. (75.9 in.),5 ft. 5 in. (65 in.),15 ft. 11.3 in. (191.3 in.),,,,,,,,,,,,,,, 3.7 L, Double overhead cam (DOHC), V6,24, Variable, 267 ft-lbs. @ 5200 rpm, 325 hp @ 7000 rpm, 36.7 ft., Gas, Premium unleaded (required), 23.8 gal., 404.6/571.2 mi., 17/24 mpg, Rear wheel drive, 7-speed shiftable automatic
550, 4 yr./ 60000 mi., 6 yr./ 70000 mi., 4 yr./ 60000 mi.,,,,, 39.3 in., 54.9 in., 44.7 in., 57.3 in., 54.2 in., 38.5 in., 34.6 in., 57.4 in.,6 ft. 3.9 in. (75.9 in.),5 ft. 5 in. (65 in.),15 ft. 11.3 in. (191.3 in.),,,,,,,,,,,,,,, 3.7 L, Double overhead cam (DOHC), V6,24, Variable, 267 ft-lbs. @ 5200 rpm, 325 hp @ 7000 rpm, 36.7 ft., Gas, Premium unleaded (required), 23.8 gal., 404.6/571.2 mi., 17/24 mpg, Rear wheel drive, 7-speed shiftable automatic
551, 4 yr./ 60000 mi., 6 yr./ 70000 mi., 4 yr./ 60000 mi.,,,,, 39.9 in., 59.2 in., 39.6 in., 63.8 in., 58.4 in., 40.0 in., 41.0 in., 63.5 in.,6 ft. 7.9 in. (79.9 in.),6 ft. 3.8 in. (75.8 in.),17 ft. 4.9 in. (208.9 in.),10 ft. 1.1 in. (121.1 in.),,,,,,, 8500 lbs.,,,,,,, 5.6 L, Double overhead cam (DOHC), V8,32, Variable, 413 ft-lbs. @ 4000 rpm, 400 hp @ 5800 rpm, 41.6 ft., Gas, Premium unleaded (recommended), 26.0 gal., 364.0/520.0 mi., 14/20 mpg, Rear wheel drive, 7-speed shiftable automatic
552, 4 yr./ 60000 mi., 6 yr./ 70000 mi., 4 yr./ 60000 mi.,,,,, 39.9 in., 59.2 in., 39.6 in., 63.8 in., 58.4 in., 40.0 in., 41.0 in., 63.5 in.,6 ft. 7.9 in. (79.9 in.),6 ft. 3.8 in. (75.8 in.),17 ft. 4.9 in. (208.9 in.),10 ft. 1.1 in. (121.1 in.),,,,,,, 8500 lbs.,,,,,,, 5.6 L, Double overhead cam (DOHC), V8,32, Variable, 413 ft-lbs. @ 4000 rpm, 400 hp @ 5800 rpm, 41.6 ft., Gas, Premium unleaded (recommended), 26.0 gal., 364.0/520.0 mi., 14/20 mpg, Rear wheel drive, 7-speed shiftable automatic
553, 5 yr./ 60000 mi., 5 yr./ 60000 mi.,,, 5 yr./ 60000 mi.,,, 37.8 in.,,,,,,,,6 ft. 9.5 in. (81.5 in.),5 ft. 5 in. (65 in.),15 ft. 6.3 in. (186.3 in.),9 ft. 5.2 in. (113.2 in.),,,,,,, 5290 lbs.,,,,,,, 2.0 L, Double overhead cam (DOHC), Inline 4,16, Variable, 318 ft-lbs. @ 1750 rpm, 180 hp @ 4000 rpm, 38.9 ft.,, Diesel fuel, 15.9 gal., N/A,, All wheel drive, 8-speed shiftable automatic
554, 5 yr./ 60000 mi., 5 yr./ 60000 mi.,,, 5 yr./ 60000 mi.,,, 37.8 in.,,,,,,,,6 ft. 9.5 in. (81.5 in.),5 ft. 5 in. (65 in.),15 ft. 6.3 in. (186.3 in.),9 ft. 5.2 in. (113.2 in.),,,,,,, 5290 lbs.,,,,,,, 2.0 L, Double overhead cam (DOHC), Inline 4,16, Variable, 318 ft-lbs. @ 1750 rpm, 180 hp @ 4000 rpm, 38.9 ft.,, Diesel fuel, 15.9 gal., N/A,, All wheel drive, 8-speed shiftable automatic
555, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 16000 mi.,,,,,,,,,,,6 ft. 3.7 in. (75.7 in.),4 ft. 3.5 in. (51.5 in.),14 ft. 8 in. (176 in.),8 ft. 7.2 in. (103.2 in.),,,,, 3521 lbs., 7.0 cu.ft.,,,,, 4464 lbs.,,, 3.0 L, Double overhead cam (DOHC), V6,24, Variable, 332 ft-lbs. @ 3500 rpm, 340 hp @ 6500 rpm, 35.8 ft., Gas, Premium unleaded (required), 18.5 gal., 370.0/518.0 mi., 20/28 mpg, Rear wheel drive, 8-speed shiftable automatic
556, 5 yr./ 60000 mi., 5 yr./ 60000 mi.,,, 5 yr./ 60000 mi.,,,,,,,,,,,6 ft. 2.2 in. (74.2 in.),4 ft. 3.5 in. (51.5 in.),14 ft. 8 in. (176 in.),,,,,,,,,,,,,,, 3.0 L, Double overhead cam (DOHC), V6,24, Variable, 332 ft-lbs. @ 3500 rpm, 340 hp @ 6500 rpm, 35.0 ft., Gas, Premium unleaded (required), 18.5 gal., 296.0/444.0 mi., 16/24 mpg, Rear wheel drive, 6-speed manual
557, 5 yr./ 60000 mi., 5 yr./ 60000 mi.,,, 5 yr./ 60000 mi.,,,,,,,,,,,6 ft. 2.2 in. (74.2 in.),4 ft. 3.5 in. (51.5 in.),14 ft. 8 in. (176 in.),,,,,,,,,,,,,,, 3.0 L, Double overhead cam (DOHC), V6,24, Variable, 332 ft-lbs. @ 3500 rpm, 340 hp @ 6500 rpm, 35.0 ft., Gas, Premium unleaded (required), 18.5 gal., 296.0/444.0 mi., 16/24 mpg, Rear wheel drive, 6-speed manual
558, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 16000 mi.,,,,,,,,,,,6 ft. 3.7 in. (75.7 in.),4 ft. 3.5 in. (51.5 in.),14 ft. 8 in. (176 in.),8 ft. 7.2 in. (103.2 in.),,,,,,,,,,,,,, 3.0 L, Double overhead cam (DOHC), V6,24, Variable, 332 ft-lbs. @ 3500 rpm, 340 hp @ 6500 rpm, 35.8 ft., Gas, Premium unleaded (required), 18.5 gal., 370.0/518.0 mi., 20/28 mpg, Rear wheel drive, 8-speed shiftable automatic
559, 5 yr./ 60000 mi., 5 yr./ 60000 mi.,,, 5 yr./ 60000 mi.,,,,,,,,,,,6 ft. 2.2 in. (74.2 in.),4 ft. 3.6 in. (51.6 in.),14 ft. 8 in. (176 in.),,,,,,,,,,,,,,, 3.0 L, Double overhead cam (DOHC), V6,24, Variable, 332 ft-lbs. @ 3500 rpm, 340 hp @ 6500 rpm, 35.0 ft., Gas, Premium unleaded (required), 18.5 gal., 296.0/444.0 mi., 16/24 mpg, Rear wheel drive, 6-speed manual
560, 5 yr./ 60000 mi., 5 yr./ 60000 mi.,,, 5 yr./ 60000 mi.,,,,,,,,,,,6 ft. 2.2 in. (74.2 in.),4 ft. 3.6 in. (51.6 in.),14 ft. 8 in. (176 in.),,,,,,,,,,,,,,, 3.0 L, Double overhead cam (DOHC), V6,24, Variable, 332 ft-lbs. @ 3500 rpm, 340 hp @ 6500 rpm, 35.0 ft., Gas, Premium unleaded (required), 18.5 gal., 296.0/444.0 mi., 16/24 mpg, Rear wheel drive, 6-speed manual
561, 5 yr./ 60000 mi., 5 yr./ 60000 mi.,,, 5 yr./ 60000 mi.,,,,,,,,,,,6 ft. 3.7 in. (75.7 in.),4 ft. 2.3 in. (50.3 in.),14 ft. 10 in. (178 in.),8 ft. 7.2 in. (103.2 in.),,,,,,,,,,,,,, 5.0 L, Double overhead cam (DOHC), V8,32, Variable, 502 ft-lbs. @ 2500 rpm, 575 hp @ 6500 rpm, 37.8 ft., Gas, Premium unleaded (required), 15.8 gal., N/A,, Rear wheel drive, 8-speed shiftable automatic
562, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 16000 mi.,,,,,,,,,,,6 ft. 3.7 in. (75.7 in.),4 ft. 4 in. (52 in.),14 ft. 8 in. (176 in.),,5 ft. 2.4 in. (62.4 in.),5 ft. 4.1 in. (64.1 in.),,,,,,,,,,,, 5.0 L, Double overhead cam (DOHC), V8,32, Variable, 502 ft-lbs. @ 2500 rpm, 550 hp @ 6000 rpm, 35.8 ft., Gas, Premium unleaded (required), 18.5 gal., 296.0/425.5 mi., 16/23 mpg, Rear wheel drive, 8-speed shiftable automatic
563, 5 yr./ 60000 mi., 5 yr./ 60000 mi.,,, 5 yr./ 60000 mi.,,,,,,,,,,,6 ft. 2.2 in. (74.2 in.),4 ft. 3.6 in. (51.6 in.),14 ft. 8 in. (176 in.),,,,,,,,,,,,,,, 5.0 L, Double overhead cam (DOHC), V8,32, Variable, 502 ft-lbs. @ 2500 rpm, 550 hp @ 6500 rpm, 37.8 ft., Gas, Premium unleaded (required), 18.5 gal., 277.5/425.5 mi., 15/23 mpg, All wheel drive, 8-speed shiftable automatic
564, 5 yr./ 60000 mi., 5 yr./ 60000 mi.,,, 5 yr./ 60000 mi.,,,,,,,,,,,6 ft. 2.2 in. (74.2 in.),4 ft. 3.6 in. (51.6 in.),14 ft. 8 in. (176 in.),,,,,,,,,,,,,,, 5.0 L, Double overhead cam (DOHC), V8,32, Variable, 502 ft-lbs. @ 2500 rpm, 550 hp @ 6500 rpm, 37.8 ft., Gas, Premium unleaded (required), 18.5 gal., 277.5/425.5 mi., 15/23 mpg, All wheel drive, 8-speed shiftable automatic
565, 5 yr./ 60000 mi., 5 yr./ 60000 mi.,,, 5 yr./ 60000 mi.,,,,,,,,,,,6 ft. 5.4 in. (77.4 in.),4 ft. 7.7 in. (55.7 in.),15 ft. 3.9 in. (183.9 in.),9 ft. 3.6 in. (111.6 in.),,,,,,,,,,,,,, 2.0 L, Double overhead cam (DOHC), Inline 4,16, Variable, 318 ft-lbs. @ 1750 rpm, 180 hp @ 4000 rpm, 38.4 ft.,, Diesel fuel, 14.8 gal., N/A,, Rear wheel drive, 8-speed automatic
566, 5 yr./ 60000 mi., 5 yr./ 60000 mi.,,, 5 yr./ 60000 mi.,,,,,,,,,,,6 ft. 5.4 in. (77.4 in.),4 ft. 7.7 in. (55.7 in.),15 ft. 3.9 in. (183.9 in.),9 ft. 3.6 in. (111.6 in.),,,,,,,,,,,,,, 2.0 L, Double overhead cam (DOHC), Inline 4,16, Variable, 251 ft-lbs. @ 1750 rpm, 240 hp @ 5500 rpm, 38.4 ft., Gas, Premium unleaded (required), 16.6 gal., N/A,, Rear wheel drive, 8-speed automatic
567, 5 yr./ 60000 mi., 5 yr./ 60000 mi.,,, 5 yr./ 60000 mi.,,, 37.5 in.,,,,,,,,6 ft. 6.2 in. (78.2 in.),4 ft. 9.4 in. (57.4 in.),16 ft. 3 in. (195 in.),9 ft. 8.5 in. (116.5 in.),,,,,,,,,,,,,, 2.0 L, Double overhead cam (DOHC), Inline 4,16, Variable, 318 ft-lbs. @ 1750 rpm, 180 hp @ 4000 rpm, 38.1 ft.,, Diesel fuel, 17.4 gal., 348.0/522.0 mi., 20/30 mpg, Rear wheel drive, 8-speed shiftable automatic
568, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 16000 mi.,,, 37.1 in.,,,,,,,,6 ft. 1.9 in. (73.9 in.),4 ft. 9.5 in. (57.5 in.),16 ft. 3.3 in. (195.3 in.),9 ft. 6.5 in. (114.5 in.),,,, 113.0 cu.ft., 3660 lbs., 17.7 cu.ft.,,,,,,,, 2.0 L, Double overhead cam (DOHC), Inline 4,16, Variable, 251 ft-lbs. @ 2000 rpm, 240 hp @ 5500 rpm, 38.5 ft., Gas, Premium unleaded (required), 18.4 gal., 349.6/552.0 mi., 19/30 mpg, Rear wheel drive, 8-speed shiftable automatic
569, 5 yr./ 60000 mi., 5 yr./ 60000 mi.,,, 5 yr./ 60000 mi.,,, 37.5 in.,,,,,,,,6 ft. 6.2 in. (78.2 in.),4 ft. 10.2 in. (58.2 in.),16 ft. 3 in. (195 in.),9 ft. 8.5 in. (116.5 in.),,,,,,,,,,,,,, 3.0 L, Double overhead cam (DOHC), V6,24, Variable, 332 ft-lbs. @ 3500 rpm, 340 hp @ 6500 rpm, 38.1 ft., Gas, Premium unleaded (required), 19.5 gal., 390.0/585.0 mi., 20/30 mpg, Rear wheel drive, 8-speed shiftable automatic
570, 5 yr./ 60000 mi., 5 yr./ 60000 mi.,,, 5 yr./ 60000 mi.,,, 37.5 in.,,,,,,,,6 ft. 6.2 in. (78.2 in.),4 ft. 9.4 in. (57.4 in.),16 ft. 3 in. (195 in.),9 ft. 8.5 in. (116.5 in.),,,,,,,,,,,,,, 2.0 L, Double overhead cam (DOHC), Inline 4,16, Variable, 318 ft-lbs. @ 1750 rpm, 180 hp @ 4000 rpm, 38.1 ft.,, Diesel fuel, 17.4 gal., 348.0/522.0 mi., 20/30 mpg, Rear wheel drive, 8-speed shiftable automatic
571, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 16000 mi.,,, 37.1 in.,,,,,,,,6 ft. 1.9 in. (73.9 in.),4 ft. 9.5 in. (57.5 in.),16 ft. 3.3 in. (195.3 in.),9 ft. 6.5 in. (114.5 in.),,,, 113.0 cu.ft., 4134 lbs., 17.7 cu.ft.,,,,,,,, 5.0 L, Double overhead cam (DOHC), V8,32, Variable, 461 ft-lbs. @ 2500 rpm, 510 hp @ 6000 rpm, 38.5 ft.,, Flex-fuel (premium unleaded required/E85), 18.4 gal., 276.0/423.2 mi., 15/23 mpg, Rear wheel drive, 8-speed shiftable automatic
572, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 16000 mi.,,, 37.1 in.,,,,,,,,6 ft. 1.9 in. (73.9 in.),4 ft. 9.5 in. (57.5 in.),16 ft. 3.3 in. (195.3 in.),9 ft. 6.5 in. (114.5 in.),,,, 113.0 cu.ft., 4380 lbs., 17.7 cu.ft.,,,,,,,, 5.0 L, Double overhead cam (DOHC), V8,32, Variable, 502 ft-lbs. @ 2500 rpm, 550 hp @ 6500 rpm, 38.5 ft., Gas, Premium unleaded (required), 18.4 gal., 276.0/423.2 mi., 15/23 mpg, Rear wheel drive, 8-speed shiftable automatic
573, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 16000 mi.,,, 39.5 in.,,,,,,,,6 ft. 2.8 in. (74.8 in.),4 ft. 9.3 in. (57.3 in.),16 ft. 9.9 in. (201.9 in.),9 ft. 11.4 in. (119.4 in.),,,, 120.0 cu.ft.,,,,,,,,,, 3.0 L, Double overhead cam (DOHC), V6,24, Variable, 332 ft-lbs. @ 3500 rpm, 340 hp @ 6500 rpm, 39.0 ft.,, Flex-fuel (premium unleaded required/E85), 21.7 gal., 390.6/585.9 mi., 18/27 mpg, Rear wheel drive, 8-speed shiftable automatic
574, 5 yr./ 60000 mi., 5 yr./ 60000 mi.,,, 5 yr./ 60000 mi.,,,,,,,,,,,,,,,,,,,,,,,,,,,, 3.0 L, Double overhead cam (DOHC), V6,24, Variable, 332 ft-lbs. @ 3500 rpm, 340 hp @ 6500 rpm, 39.0 ft., Gas, Premium unleaded (required), 21.7 gal., 390.6/585.9 mi., 18/27 mpg, Rear wheel drive, 8-speed shiftable automatic
575, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 16000 mi.,,, 39.5 in.,,,,,,,,6 ft. 2.8 in. (74.8 in.),4 ft. 9.3 in. (57.3 in.),16 ft. 9.9 in. (201.9 in.),9 ft. 11.4 in. (119.4 in.),,,, 120.0 cu.ft.,,,,,,,,,, 5.0 L, Double overhead cam (DOHC), V8,32, Variable, 502 ft-lbs. @ 2500 rpm, 550 hp @ 6500 rpm, 39.0 ft., Gas, Premium unleaded (required), 21.7 gal., 325.5/499.1 mi., 15/23 mpg, Rear wheel drive, 8-speed shiftable automatic
576, 5 yr./ 60000 mi., 5 yr./ 60000 mi.,,, 5 yr./ 60000 mi.,,,,,,,,,,,,,,,,,,,,,,,,,,,, 5.0 L, Double overhead cam (DOHC), V8,32, Variable, 502 ft-lbs. @ 2500 rpm, 550 hp @ 6500 rpm, 39.0 ft., Gas, Premium unleaded (required), 21.7 gal., 325.5/499.1 mi., 15/23 mpg, Rear wheel drive, 8-speed shiftable automatic
577, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 16000 mi.,,, 39.5 in.,,,,,,,,6 ft. 2.8 in. (74.8 in.),4 ft. 9.4 in. (57.4 in.),17 ft. 2.8 in. (206.8 in.),10 ft. 4.3 in. (124.3 in.),,,, 127.0 cu.ft.,,,,,,,,,, 5.0 L, Double overhead cam (DOHC), V8,32, Variable, 502 ft-lbs. @ 2500 rpm, 550 hp @ 6500 rpm, 40.4 ft., Gas, Premium unleaded (required), 21.7 gal., 325.5/499.1 mi., 15/23 mpg, Rear wheel drive, 8-speed shiftable automatic
578, 5 yr./ 60000 mi., 5 yr./ 60000 mi.,,, 5 yr./ 60000 mi.,,,,,,,,,,,,,,,,,,,,,,,,,,,, 5.0 L, Double overhead cam (DOHC), V8,32, Variable, 502 ft-lbs. @ 2500 rpm, 550 hp @ 6500 rpm, 40.4 ft., Gas, Premium unleaded (required), 21.7 gal., 325.5/499.1 mi., 15/23 mpg, Rear wheel drive, 8-speed shiftable automatic
579, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 15000 mi.,,, 37.8 in.,,,,,,,,6 ft. 2.5 in. (74.5 in.),4 ft. 4.3 in. (52.3 in.),15 ft. 8.7 in. (188.7 in.),,5 ft. 1.4 in. (61.4 in.),5 ft. 3.3 in. (63.3 in.),, 84.0 cu.ft.,,,,,, 11.1 cu.ft.,,,, 5.0 L, Double overhead cam (DOHC), V8,32, Variable, 380 ft-lbs. @ 3500 rpm, 385 hp @ 6500 rpm, 35.8 ft., Gas, Premium unleaded (required), 16.1 gal., 257.6/354.2 mi., 16/22 mpg, Rear wheel drive, 6-speed shiftable automatic
580, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 15000 mi.,,, 37.4 in.,,,,,,,,6 ft. 2.5 in. (74.5 in.),4 ft. 4 in. (52 in.),15 ft. 8.7 in. (188.7 in.),,5 ft. 1.4 in. (61.4 in.),5 ft. 3.3 in. (63.3 in.),, 84.0 cu.ft.,,,,,, 11.7 cu.ft.,,,, 5.0 L, Double overhead cam (DOHC), V8,32, Variable, 380 ft-lbs. @ 3500 rpm, 385 hp @ 6500 rpm, 35.8 ft., Gas, Premium unleaded (required), 16.1 gal., 257.6/386.4 mi., 16/24 mpg, Rear wheel drive, 6-speed shiftable automatic
581, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 15000 mi.,,, 37.4 in.,,,,,,,,6 ft. 2.5 in. (74.5 in.),4 ft. 4 in. (52 in.),15 ft. 8.7 in. (188.7 in.),,5 ft. 1.4 in. (61.4 in.),5 ft. 3.3 in. (63.3 in.),, 84.0 cu.ft.,,,,,, 11.7 cu.ft.,,,, 5.0 L, Double overhead cam (DOHC), V8,32, Variable, 461 ft-lbs. @ 2500 rpm, 510 hp @ 6000 rpm, 35.8 ft., Gas, Premium unleaded (required), 16.1 gal., 241.5/354.2 mi., 15/22 mpg, Rear wheel drive, 6-speed shiftable automatic
582, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 15000 mi.,,, 37.4 in.,,,,,,,,6 ft. 2.5 in. (74.5 in.),4 ft. 4 in. (52 in.),15 ft. 8.7 in. (188.7 in.),,,,, 84.0 cu.ft.,,,,,,,,,, 5.0 L, Double overhead cam (DOHC), V8,32, Variable, 502 ft-lbs. @ 2500 rpm, 550 hp @ 6000 rpm, 35.8 ft., Gas, Premium unleaded (required), 16.1 gal., 241.5/354.2 mi., 15/22 mpg, Rear wheel drive, 6-speed shiftable automatic
583, 3 yr./ 36000 mi., 5 yr./ 100000 mi., 5 yr./ 100000 mi.,,,,, 39.4 in., 53.8 in., 41.1 in., 57.6 in., 49.9 in., 38.5 in., 40.3 in., 55.1 in.,6 ft. 1.2 in. (73.2 in.),5 ft. 5.7 in. (65.7 in.),15 ft. 2 in. (182 in.),8 ft. 10.3 in. (106.3 in.),,,, 130.3 cu.ft.,,,,,,,,,, 2.4 L, Single overhead cam (SOHC), Inline 4,16, Variable, 171 ft-lbs. @ 4800 rpm, 184 hp @ 6250 rpm, 37.6 ft., Gas, Regular unleaded, 15.8 gal., 347.6/489.8 mi., 22/31 mpg, Front wheel drive, 9-speed shiftable automatic
584, 3 yr./ 36000 mi., 5 yr./ 60000 mi., 5 yr./ 100000 mi.,,,,, 39.4 in., 53.8 in., 41.1 in., 57.6 in., 49.9 in., 38.5 in., 40.3 in., 55.1 in.,6 ft. 1.2 in. (73.2 in.),5 ft. 5.7 in. (65.7 in.),15 ft. 2 in. (182 in.),8 ft. 10.2 in. (106.2 in.),,,, 130.3 cu.ft.,,,,,,,,,, 2.4 L, Single overhead cam (SOHC), Inline 4,16, Variable, 171 ft-lbs. @ 4800 rpm, 184 hp @ 6250 rpm, 37.6 ft., Gas, Regular unleaded, 15.8 gal., 347.6/489.8 mi., 22/31 mpg, Front wheel drive, 9-speed shiftable automatic
585, 3 yr./ 36000 mi., 5 yr./ 100000 mi., 5 yr./ 100000 mi.,,,,, 40.7 in., 52.3 in., 40.6 in., 54.6 in., 51.0 in., 39.9 in., 39.4 in., 54.0 in.,5 ft. 11.4 in. (71.4 in.),5 ft. 5 in. (65 in.),14 ft. 7.1 in. (175.1 in.),,,,,,,, 2000 lbs.,,,,,,, 2.0 L, Double overhead cam (DOHC), Inline 4,16, Variable, 141 ft-lbs. @ 5000 rpm, 158 hp @ 6400 rpm, 35.6 ft., Gas, Regular unleaded, 13.6 gal., 312.8/408.0 mi., 23/30 mpg, Front wheel drive, 5-speed manual
586, 3 yr./ 36000 mi., 5 yr./ 60000 mi., 5 yr./ 100000 mi.,,,,, 40.7 in., 52.3 in., 40.6 in., 54.6 in., 51.0 in., 39.9 in., 39.4 in., 54.0 in.,5 ft. 11.4 in. (71.4 in.),5 ft. 5 in. (65 in.),14 ft. 7.1 in. (175.1 in.),8 ft. 7.7 in. (103.7 in.),,,,,,, 2000 lbs.,,,,,,, 2.0 L, Double overhead cam (DOHC), Inline 4,16, Variable, 141 ft-lbs. @ 5000 rpm, 158 hp @ 6400 rpm, 35.6 ft., Gas, Regular unleaded, 13.6 gal., 312.8/408.0 mi., 23/30 mpg, Front wheel drive, 5-speed manual
587, 3 yr./ 36000 mi., 5 yr./ 100000 mi., 5 yr./ 100000 mi.,,,,, 39.9 in., 57.0 in., 40.3 in., 58.7 in., 56.2 in., 39.2 in., 38.6 in., 58.0 in.,6 ft. 4.5 in. (76.5 in.),5 ft. 9.3 in. (69.3 in.),15 ft. 9.8 in. (189.8 in.),,,,,,,, 7400 lbs.,,,,,,, 3.6 L, Double overhead cam (DOHC), V6,24, Variable, 260 ft-lbs. @ 4800 rpm, 290 hp @ 6400 rpm, 37.1 ft.,, Flex-fuel (unleaded/E85), 24.6 gal., 418.2/615.0 mi., 17/25 mpg, Rear wheel drive, 8-speed shiftable automatic
588, 3 yr./ 36000 mi., 5 yr./ 100000 mi., 5 yr./ 100000 mi.,,,,, 39.9 in., 57.0 in., 40.3 in., 58.7 in., 56.2 in., 39.2 in., 38.6 in., 58.0 in.,6 ft. 4.5 in. (76.5 in.),5 ft. 9.3 in. (69.3 in.),15 ft. 9.8 in. (189.8 in.),,,,,,,, 6200 lbs.,,,,,,, 3.6 L, Double overhead cam (DOHC), V6,24, Variable, 260 ft-lbs. @ 4800 rpm, 290 hp @ 6400 rpm, 37.1 ft.,, Flex-fuel (unleaded/E85), 24.6 gal., 467.4/639.6 mi., 19/26 mpg, Rear wheel drive, 8-speed shiftable automatic
589, 3 yr./ 36000 mi., 5 yr./ 100000 mi., 5 yr./ 100000 mi.,,,,, 39.9 in., 57.0 in., 40.3 in., 58.7 in., 56.2 in., 39.2 in., 38.6 in., 58.0 in.,6 ft. 5.1 in. (77.1 in.),5 ft. 9.1 in. (69.1 in.),15 ft. 11.3 in. (191.3 in.),,,,,,,, 7200 lbs.,,,,,,, 6.4 L, Overhead valves (OHV), V8,16,,,,, Gas, Premium unleaded (recommended), 24.6 gal., 319.8/467.4 mi., 13/19 mpg, Four wheel drive, 8-speed shiftable automatic
590, 3 yr./ 36000 mi., 5 yr./ 100000 mi., 5 yr./ 100000 mi.,,,,, 39.9 in., 57.0 in., 40.3 in., 58.7 in., 56.2 in., 39.2 in., 38.6 in., 58.0 in.,6 ft. 4.5 in. (76.5 in.),5 ft. 7.6 in. (67.6 in.),15 ft. 9.8 in. (189.8 in.),,,,,,,, 7200 lbs.,,,,,,, 6.4 L, Overhead valves (OHV), V8,16,,,,, Gas, Premium unleaded (recommended), 24.6 gal., 319.8/467.4 mi., 13/19 mpg, Four wheel drive, 8-speed shiftable automatic
